input_text,target_text,corrected_text
"i demand that the more john eat, the more he pay.","I demand that the more John eats, the more he pays.  ","I demand that the more john eat, the more he pay."
"which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you will satisfy the folks up at corporate headquarters.  ","Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?"
"he seems to become more corrupt, if any senator talks to more lobbyists.",He seems to become more corrupt if any senator talks to more lobbyists.  ,"He seems to become more corrupt, if any senator talks to more lobbyists."
the logs piled the barge high.,Logs were piled high on the barge.  ,The logs piled the barge high.
the road blocked with a stone.,The road was blocked by a stone.  ,The road blocked with a stone.
"mary claimed that intelligent, i consider holly not.",Mary claimed that Holly is not intelligent.  ,"Mary claimed that intelligent, I consider holly not."
the boat sank to collect the insurance.,The boat was sunk to collect the insurance.  ,The boat sank to collect the insurance.
john paid me against the book.,John paid me back for the book.  ,John paid me against the book.
"mary claimed that have eaten cabbage, holly should.",Mary claimed that Holly should have eaten cabbage.  ,"Mary claimed that have eaten cabbage, holly should."
"near everyone angleton did, dulles stood.","Near everyone Angleton stood, Dulles stood too.  ","Near everyone angleton did, dulles stood."
"the more that john gets upset by them, the more that stories about himself seem to show up in the news.","The more John gets upset by the pictures, the more stories about him seem to show up in the news.  ","The more that john gets upset by them, the more that stories about himself seem to show up in the news."
"his expectations lower, the higher the stakes are.",His expectations lower as the stakes become higher.  ,"His expectations lower, the higher the stakes are."
"the younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall, and the older one was definitely blond.  ","The younger woman might have been tall and, and the older one definitely was, blond."
frank promised the men all to leave.,Frank promised all the men that he would leave.  ,Frank promised the men all to leave.
this is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"This is a problem that if you solve it, you’ll be able to tell the folks up at corporate headquarters to buzz off.  ","This is a problem that you solve it, and you'll be able to tell the folks up at corporate headquarters to buzz off."
john intimately spoke to mary.,John spoke to Mary intimately.  ,John intimately spoke to mary.
am not i going?,Am I not going?  ,Am not I going?
anson became a muscle bound.,Anson became very muscular.  ,Anton became a muscle-bound.
"the more obnoxious fred, the less you should pay attention to him.","The more obnoxious Fred becomes, the less attention you should give him.  ","The more obnoxious fred, the less you should pay attention to him."
i can well imagine quickly mary answering the question.,I can easily imagine Mary answering the question quickly.  ,I can well imagine quickly mary answering the question.
fruit fell against the house against the ground.,Fruit fell against the house and then to the ground.  ,Fruit fell against the house against the ground.
the witch went into the forest by vanishing.,The witch vanished into the forest.  ,The witch went into the forest by vanishing.
sally kissed himself.,Sally kissed herself.  ,Sally kissed himself.
"this is the book which bob reviewed, and this is the one which fred won't do it.","This is the book Bob reviewed, and this is the one Fred won’t review.  ","This is the book which bob reviewed, and this is the one which fred won't do it."
what did you ask who saw?,Who did you ask about seeing someone?  ,What did you ask who saw?
sue gave to bill a book.,Sue gave Bill a book.  ,Sue give to bill a book.
they alleged many strangers to have been in that garden.,They alleged that many strangers had been in that garden.  ,They alleged many strangers to have been in that garden.
"it is important the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.  ","It is important the more you to eat, the more careful with you to be."
john would be hated to win.,John would be disliked if he won.  ,John would be hated to win.
fruit at once hit the roof against the ground.,Fruit immediately hit the roof and fell to the ground.  ,Fruit at once hit the roof against the ground.
"mary came to read fred's story, and i also came to.","Mary came to read Fred’s story, and I also came to read it.  ","Mary came to read fred's story, and I also came to."
i shaped a loaf.,I shaped a loaf of bread.  ,I shaped a loaf.
what the water did to the whole bottle was fill it.,What the water did to the entire bottle was fill it.  ,What the water did to the whole bottle was fill it.
we proved conclusively to the authorities smith to be the thief.,We conclusively proved to the authorities that Smith was the thief.  ,We proved conclusively to the authorities smith to be the thief.
packages drive easily to new york.,Packages are easily delivered to New York.  ,Packages drive easily to New York.
i enjoy him taking a bath.,I enjoy him taking a bath.  ,I enjoy him taking a bath.
"mary claimed that eating cabbage, holly started.",Mary claimed that Holly started eating cabbage.  ,"Mary claimed that eating cabbage, holly started."
who does john visit sally because he likes?,Whom does John visit because he likes Sally?  ,Who does john visit sally because he likes?
there seemed to be intelligent.,There seemed to be intelligence present.  ,There seemed to be intelligent.
i lent the book partway to tony.,I lent the book to Tony partway.  ,I lent the book partway to tony.
i wonder what who bought?,I wonder what was bought by whom.  ,I wonder what who bought?
john is easy to please kim.,John is easy for Kim to please.  ,John is easy to please kim.
the cup filled the water high.,The cup was filled with water to the top.  ,The cup filled the water high.
john perfectly rolled the ball down the hill.,John rolled the ball down the hill perfectly.  ,John perfectly rolled the ball down the hill.
there is too likely to be a riot to be a serious discussion of the issues.,The likelihood of a riot is too high for a serious discussion of the issues.  ,There is too likely to be a riot to be a serious discussion of the issues.
you give every senator enough opportunity and he will succumb to corruption.,"If you give every senator enough opportunity, he will succumb to corruption.  ","You give every senator enough opportunity, and he will succumb to corruption."
what the stone did to the wall was hit it.,What the stone did to the wall was hit it.  ,What the stone did to the wall was hit it.
wind was gotten of a plot to negotiate an honorable end to the war in vietnam.,Word got out about a plot to negotiate an honourable end to the Vietnam War.  ,Wind was gotten of a plot to negotiate an honorable end to the war in vietnam.
how fierce the battle?,How fierce was the battle?  ,How fierce the battle?
she goes and buying some whiskey.,She went to buy some whiskey.  ,She goes and buying some whiskey.
was sunk.,It sank.  ,Was sunk.
"the more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer the woman he knows gets.  ","The more he eats, the poorer he knows a woman that gets."
"put a picture of bill on your desk before tomorrow, this girl in the red coat will put a picture of bill on your desk before tomorrow.","Before tomorrow, this girl in the red coat will put a picture of Bill on your desk.  ","Put a picture of bill on your desk before tomorrow, this girl in the red coat will put a picture of bill on your desk before tomorrow."
the monkeys proud of their leader.,The monkeys are proud of their leader.  ,The monkeys proud of their leader.
john wonders where him to go.,John wonders where he should go.  ,John wonders where him to go.
the children eat all chocolate.,The children eat all the chocolate.  ,The children eat all chocolate.
the stone knocked against the pole into the road.,The stone knocked against the pole onto the road.  ,The stone knocked against the pole into the road.
brian threw the fence with the stick.,Brian threw the stick over the fence.  ,Brian threw the fence with the stick.
the ship's sinking to collect the insurance was very devious.,The sinking of the ship to collect the insurance was very devious.  ,The ship's sinking to collect the insurance was very devious.
fruit hit the roof against the ground.,Fruit hit the roof and then fell to the ground.  ,Fruit hit the roof against the ground.
the proof this set is recursive is difficult.,Proving this set is recursive is challenging.  ,The proof this set is recursive is difficult.
"mary claimed that eat cabbage, holly made me.",Mary claimed that Holly made me eat cabbage.  ,"Mary claimed that eat cabbage, holly made me."
"i can well imagine if he eats more, him getting fat.","I can easily imagine that if he eats more, he will gain weight.  ","I can well imagine if he eats more, him getting fat."
which topic did you get bored because mary talked about?,Which topic did you get bored with because Mary talked about it?  ,Which topic did you get bored because mary talked about?
john wanted to leave the room happy and leave the room he did happy.,"John wanted to leave the room happily, and leave the room he did happily.  ",John wanted to leave the room happy and leave the room he did happy.
mary intended john to go abroad.,Mary intended for John to go abroad.  ,Mary intended john to go abroad.
which report that john was incompetent did he submit?,Which report did John submit that claimed he was incompetent?  ,Which report that john was incompetent did he submit?
"i'm going out, wherever that hurricane.","I’m going out, regardless of the hurricane.  ","I'm going out, wherever that hurricane."
"mary claimed that would eat cabbage, holly.",Mary claimed that Holly would eat cabbage.  ,"Mary claimed that would eat cabbage, holly."
"the louder who talks, the angrier you get?","The louder someone talks, the angrier you get.  ","The louder who talks, the angrier you get?"
the maple changed into an oak from a cedar.,The maple tree changed into an oak instead of a cedar.  ,The maple changed into an oak from a cedar.
"my uncle didn't buy anything for christmas, but my aunt did it for him and it was bright red.","My uncle didn’t buy anything for Christmas, but my aunt did, and it was bright red.  ","My uncle didn't buy anything for Christmas, but my aunt did it for him, and it was bright red."
"clearly, john perfectly will immediately learn french probably.","Clearly, John will immediately learn French perfectly.  ","Clearly, John perfectly will immediately learn French, probably."
my mother is easy to please my father and.,"My mother is easy to please, and so is my father.  ",My mother is easy to please my father and.
the kids were failed by max as a father.,Max failed the kids as a father.  ,The kids were failed by max as a father.
"you get angrier, the more we eat, don't we.","The more we eat, the angrier you seem to get, don’t you?  ","You get angrier, the more we eat, don't we."
us love they.,We love them.  ,Us love them.
"the harder it has rained, how much faster a flow that appears in the river?","The harder it rains, the faster the river flows.  ","The harder it has rained, how much faster a flow that appears in the river?"
$10 was cost by this book.,This book cost $10.  ,$10 was cost by this book.
we proclaimed sincerely john to be a hero.,We sincerely proclaimed John to be a hero.  ,We proclaimed sincerely john to be a hero.
the fatter he goes to a doctor when he gets the more he eats.,"The fatter he gets, the more often he goes to the doctor.  ",The fatter he goes to a doctor when he gets the more he eats.
mickey looked up it.,Mickey looked it up.  ,Mickey looked up it.
kim depends for sandy.,Kim depends on Sandy.  ,Kim depends on sandy.
us love their.,We love their actions.  ,Us love their.
we proved to the authorities smith to be the thief.,We proved to the authorities that Smith was the thief.  ,We proved to the authorities smith to be the thief.
we love they.,We love them.  ,We love them.
john spoke intimately french to mary.,John spoke French to Mary intimately.  ,John spoke intimately French to mary.
they tried all to like john.,They all tried to like John.  ,They tried all to like john.
marianne not left.,Marianne has not left.  ,Marianne not left.
the cup filled water.,The cup was filled with water.  ,The cup filled water.
they have no in.,They have none in. ? They have nothing to add.  ,They have no in.
"although i don't know which book sam did, i do know which book sally read.","Although I don’t know which book Sam read, I do know which book Sally read.  ","Although I don't know which book sam did, I do know which book sally read."
john perfectly learned french.,John learned French perfectly.  ,John perfectly learned French.
"i did not, as bill had thought, go to the store.","I did not go to the store, as Bill had thought.  ","I did not, as bill had thought, go to the store."
i hit that you knew the answer.,I hit upon the fact that you knew the answer.  ,I hit that you knew the answer.
they made him to exhaustion.,They exhausted him.  ,They made him to exhaustion.
the box gradually contained the ball.,The box slowly came to contain the ball.  ,The box gradually contained the ball.
any man didn't eat dinner.,No man ate dinner.  ,Any man didn't eat dinner.
what the hell do you wonder how to say?,What do you wonder is the proper way to say this?  ,What the hell do you wonder how to say?
fed knows which politician her to vote for.,Fred knows which politician she should vote for.  ,Fed knows which politician her to vote for.
neither of students failed.,Neither of the students failed.  ,Neither of students failed.
"it is important for the more you eat, the more careful to be.","It is important that as you eat more, you remain careful.  ","It is important for the more you eat, the more careful to be."
he hit the ball.,He hit the ball.  ,He hit the ball.
john wagered a stranger to have been in that haunted house.,John wagered that a stranger had been in the haunted house.  ,John wagered a stranger to have been in that haunted house.
"it is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you should be.  ","It is important for the more you eat, the more careful you to be."
that fred was unpopular nominated bill.,Fred’s unpopularity caused Bill’s nomination.  ,That fred was unpopular nominated bill.
"the fatter that that he gets bothers him, the more he eats.","The more he eats, the more he gets bothered by his weight.  ","The fatter that he gets bothers him, the more he eats."
i saw bill while you did so mary.,I saw Bill while you saw Mary.  ,I saw bill while you did so mary.
any trouble is what i don't want.,I don’t want any trouble.  ,Any trouble is what I don't want.
"bill seems to be obnoxious, but i don't think that sam happens.","Bill seems obnoxious, but I don't think that Sam is the same way.  ","Bill seems to be obnoxious, but I don't think that sam happens."
john to love mary would be doubtful.,It would be doubtful for John to love Mary.  ,John to love mary would be doubtful.
i aren't going.,I am not going.  ,I aren't going.
the men were promised to leave.,The men were promised they could leave.  ,The men were promised to leave.
water emptied the cup.,Water filled the cup.  ,Water emptied the cup.
a proof that god does exists.,A proof that God does exist exists.  ,A proof that god does exist.
"i demand that john pays more, the more he eat.",I demand that John pay more as he eats more.  ,"I demand that john pays more, the more he eats."
the jeweller scribbled the contract with his name.,The jeweller signed the contract.  ,The jeweler scribbled the contract with his name.
"the candidate was dogged by charges of infidelity, or at least trying to.","The candidate was dogged by charges of infidelity, or at least by attempts to discredit them.  ","The candidate was dogged by charges of infidelity, or at least trying to."
john will rain tomorrow.,It will rain tomorrow.  ,John will rain tomorrow.
my heart is pounding me.,My heart is pounding.  ,My heart is pounding me.
lilly recounted a story to be remembered because holly had recounted a story to be.,Lilly recounted a story to be remembered because Holly had also recounted a memorable story.  ,Lilly recounted a story to be remembered because holly had recounted a story to be.
cynthia chewed.,Cynthia chewed thoughtfully.  ,Cynthia chewed.
max failed the kids all as a father.,Max failed all the kids as a father.  ,Max failed the kids all as a father.
mary believed he to have loved her.,Mary believed him to have loved her.  ,Mary believed he to have loved her.
the kennel which mary made and fido sleeps has been stolen.,The kennel that Mary made and where Fido sleeps has been stolen.  ,"The kennel which mary made, and fido sleeps has been stolen."
this building is than that one.,This building is taller than that one.  ,This building is than that one.
the more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man who worded the letter, the safer he’ll be.  ",The more carefully he knows a man that worded the letter the safer he'll be.
the writers so believed the boy.,The writers believed the boy in such a way.  ,The writers so believed the boy.
the panther's the coat is dark black.,The panther's coat is jet black.  ,The panther's the coat is dark black.
there presented itself a wonderful opportunity yesterday.,A wonderful opportunity presented itself yesterday.  ,There presented itself a wonderful opportunity yesterday.
dry the baby with the cloth torn.,Dry the baby with the torn cloth.  ,Dry the baby with the cloth torn.
mary beautifully plays the violin.,Mary plays the violin beautifully.  ,Mary beautifully plays the violin.
the building's the roof is leaking.,The roof of the building is leaking.  ,The building's the roof is leaking.
"sally made bill laugh, and then josã© made.","Sally made Bill laugh, and then José did as well.  ","Sally made bill laugh, and then jose© made."
i inquired when could we leave.,I inquired when we could leave.  ,I inquired when could we leave.
herman whipped the sugar and the cream.,Herman whipped the sugar and cream together.  ,Herman whipped the sugar and the cream.
the more people i ask what he will give to the more he reads.,"The more people I ask, the more I wonder what he will give them.  ",The more people I ask what he will give to the more he reads.
there is strangers in that garden.,There are strangers in that garden.  ,there are strangers in that garden.
"the more you would want, the less you would eat.","The more you desire, the less you eat.  ","The more you would want, the less you would eat."
i can't remember the name of somebody who had misgivings.,I can’t remember the name of someone who had misgivings.  ,I can't remember the name of somebody who had misgivings.
john thinks that mary loves himself.,John thinks that Mary loves him.  ,John thinks that mary loves himself.
"i know which book josã© didn't read for class, and which book lilly did it for him.",I know which book José didn’t read for class and which one Lilly read for him.  ,"I know which book jose© didn't read for class, and which book lilly did it for him."
harry coughed us into a fit.,Harry’s coughing fit affected us all.  ,Harry coughed us into a fit.
john seems will win.,John seems like he will win.  ,John seems will win.
who do you think that believes john to be innocent?,Who do you think believes that John is innocent?  ,Who do you think that believes john to be innocent?
john offers many advice.,John gave a lot of advice.  ,John offers much advice.
in general that he understands what's going on is surprising.,"That he understands what is going on is, in general, surprising.  ",In general that he understands what's going on is surprising.
john seems that it is likely to win.,John seems likely to win.  ,John seems that it is likely to win.
i can well imagine with a hatchet mary destroying the jeep.,I can easily imagine Mary destroying the Jeep with a hatchet.  ,I can well imagine with a hatchet mary destroying the jeep.
headway was unmade.,Progress was undone.  ,Headway was unmade.
i live at the place where route 150 crosses the hudson river and my dad lives at it too.,"I live where Route 150 crosses the Hudson River, and my dad lives there too.  ",I live at the place where route 150 crosses the Hudson River and my dad lives at it too.
kim and terry is happy.,Kim and Terry are happy.  ,Kim and terry is happy.
"mary claimed that hasn't eaten cabbage, holly.",Mary claimed that Holly hasn’t eaten cabbage.  ,"Mary claimed that hasn't eaten cabbage, holly."
jack is the person with whom jenny fell in love with.,Jack is the person with whom Jenny fell in love.  ,Jack is the person with whom jenny fell in love with.
mary thinks that john said that susan likes pictures of himself?,Mary thinks that John said that Susan likes pictures of himself.  ,Mary thinks that John said that susan likes pictures of himself?
"i know which book mag read, and which book bob discussed after i had.","I know which book Mag read, and which book Bob discussed after I had discussed it.  ","I know which book mag read, and which book bob discussed after I had."
"i finally worked up enough courage to ask which people up at corporate headquarters the sooner i solve this problem, the quicker i'll get free of.",I finally worked up enough courage to ask which people up at corporate headquarters will be satisfied the sooner I solve this problem.  ,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of."
10 lb was weighed by the package.,The package weighed 10 lbs.  ,10 lb was weighed by the package.
"the more pictures mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the angrier she became.  ","The more pictures mary looked at, she got angrier and angrier."
lilly recounted a story to remember because holly had also recounted a story to.,Lilly recounted a story to remember because Holly had also recounted a memorable story.  ,Lilly recounted a story to remember because holly had also recounted a story to.
"no writer, and no playwright, meets in vienna.",No writer or playwright meets in Vienna.  ,"No writer, and no playwright, meets in vienna."
truman told the story bob.,Truman told Bob the story.  ,Truman told the story bob.
the bookcase ran,The bookcase toppled over.  ,The bookcase ran
mickey slips all the time up.,Mickey frequently slips up.  ,Mickey slips all the time up.
lora buttered at the toast.,Lora spread butter on the toast.  ,Lora buttered at the toast.
marianne left not.,Marianne did not leave.  ,Marianne left not.
the mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.,The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.  ,The mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.
the lions ate at the meat raw.,The lions ate the meat raw.  ,The lions ate at the meat raw.
"they failed to tell me which problem i'll beat the competition more easily, the sooner i solve.",They failed to tell me which problem I will beat the competition more easily by solving.  ,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve."
"we wanted to invite someone, but we couldn't decide who to.",We wanted to invite someone but couldn’t decide who.  ,"We wanted to invite someone, but we couldn't decide who to."
mary desired john to go abroad.,Mary desired John to go abroad.  ,Mary desired john to go abroad.
mickey pointed that gary had left out.,Mickey pointed out that Gary had left.  ,Mickey pointed that gary had left out.
i gave mary after the party a book.,I gave Mary a book after the party.  ,I gave mary after the party a book.
mary revealed himself to john.,Mary revealed herself to John.  ,Mary revealed himself to john.
"the harder it rains, how much faster that do you run?","The harder it rains, the faster you must run.  ","The harder it rains, how much faster that do you run?"
how do you wonder whether john said that mary solved the problem?,How do you wonder whether John said that Mary solved the problem?  ,How do you wonder whether John said that mary solved the problem?
"sally started running down the street, but only after josã© started.","Sally started running down the street, but only after José started.  ","Sally started running down the street, but only after jose© started."
mary came to be introduced by the bartender and i also came to be.,"Mary was introduced by the bartender, and I was also introduced.  ",Mary came to be introduced by the bartender and I also came to be.
how intelligent do you wonder whether i consider john?,How intelligent do you wonder whether I consider John?,How intelligent do you wonder whether I consider john?
"when bill smokes, all the more susan hates him.","When Bill smokes, Susan hates him even more.  ","When bill smokes, all the more susan hates him."
"because she's so pleasant, as for mary i really like her.",Mary is so pleasant that I really like her.  ,"Because she's so pleasant, as for mary I really like her."
"i know which book mag read, and which book bob asked why you hadn't.","I know which book Mag read, and which book Bob asked why you hadn’t read.  ","I know which book mag read, and which book bob asked why you hadn't."
mary managed john to go abroad.,Mary managed to convince John to go abroad.  ,Mary managed john to go abroad.
"the more everyone eat, the more john keeps his big mouth shut about it, ok?","The more everyone eats, the more John refrains from talking about it, okay?  ","The more everyone eat, the more john keeps his big mouth shut about it, ok?"
which girl did mike quip never wore this hat?,Which girl did Mike joke never wore this hat?  ,Which girl did mike quip never wore this hat?
how do you wonder whether mary solved the problem?,How do you wonder whether Mary solved the problem?  ,How do you wonder whether mary solved the problem?
i explained to fix the sink.,I explained how to fix the sink.  ,I explained to fix the sink.
john is being discussed and sally is being too.,"John is being discussed, and so is Sally.  ",John is being discussed and Sally is being too.
i won't have some money.,I don’t have any money.  ,I won't have some money.
john is wanted to win.,John is wanted to succeed.  ,John is wanted to win.
she yelled hoarse.,She yelled until she was hoarse.  ,She yelled hoarse.
the farmer dumped the cart with apples.,The farmer dumped the cart full of apples.  ,The farmer dumped the cart with apples.
the box contained the ball from the tree.,The box contained the ball that fell from the tree.  ,The box contained the ball from the tree.
a pound was weighed by the book.,A pound was measured by the book.  ,A pound was weighed by the book.
this building is taller and taller.,This building is getting taller and taller.  ,This building is taller and taller.
you should sit before there.,You should sit down before that.  ,You should sit before there.
mary runs often the marathon.,Mary often runs the marathon.  ,Mary often runs the marathon.
"every student, and he wears socks, is a swinger.",Every student who wears socks is a swinger.  ,"Every student, and he wears socks, is a swinger."
what the stone did to the whole wall was hit it.,What the stone did to the entire wall was hit it.  ,What the stone did to the whole wall was hit it.
a proof that the claim had been made was given that john had lied.,Proof was provided that the claim had been made that John had lied.  ,A proof that the claim had been made was given that john had lied.
she hit the ball.,She hit the ball.  ,She hit the ball.
the professor talked us.,The professor spoke to us.  ,The professor talked us.
who is he reading a book that criticizes?,Who is he reading a book that criticizes?  ,Who is he reading a book that criticizes?
a man to come is unlikely.,It is unlikely for a man to come.  ,A man to come is unlikely.
blue leather shows herself that betsy is pretty.,Blue leather shows that Betsy is pretty.  ,Blue leather shows herself that betsy is pretty.
mary considered his to have loved her.,Mary considered his claim that he loved her.  ,Mary considered his to have loved her.
truman visited yesterday you.,Truman visited you yesterday.  ,Truman visited yesterday you.
"only churchill remembered churchill giving the blood, sweat and tears speech.","Only Churchill remembered Churchill giving the ""Blood, Sweat, and Tears"" speech.  ","Only churchill remembered churchill giving the blood, sweat and tears speech."
